client_order_id,instrument_id,side,order_type,time_in_force,quantity,filled_qty,leaves_qty,status,initialized_ns,terminal_ns
O-20210201-000000-001-140724074716208-1,BTCUSDT-PERP.BINANCE,BUY,MARKET,GTC,0.058,0.058,0.000,FILLED,1612137600000000000,1612137660000000000
O-20210208-000000-001-140724074716208-2,BTCUSDT-PERP.BINANCE,SELL,MARKET,GTC,0.004,0.004,0.000,FILLED,1612742400000000000,1612742460000000000
O-20210215-000000-001-140724074716208-3,BTCUSDT-PERP.BINANCE,SELL,MARKET,GTC,0.013,0.013,0.000,FILLED,1613347200000000000,1613347260000000000
O-20210222-000000-001-140724074716208-4,BTCUSDT-PERP.BINANCE,BUY,MARKET,GTC,0.001,0.001,0.000,FILLED,1613952000000000000,1613952060000000000
O-20210301-000000-001-140724074716208-5,BTCUSDT-PERP.BINANCE,BUY,MARKET,GTC,0.005,0.005,0.000,FILLED,1614556800000000000,1614556860000000000
O-20210308-000000-001-140724074716208-6,BTCUSDT-PERP.BINANCE,SELL,MARKET,GTC,0.006,0.006,0.000,FILLED,1615161600000000000,1615161660000000000
O-20210315-000000-001-140724074716208-7,BTCUSDT-PERP.BINANCE,BUY,MARKET,GTC,0.004,0.004,0.000,FILLED,1615766400000000000,1615766460000000000
O-20210322-000000-001-140724074716208-8,BTCUSDT-PERP.BINANCE,SELL,MARKET,GTC,0.045,0.045,0.000,FILLED,1616371200000000000,1616371260000000000
O-20210322-000100-001-140724074716208-9,BTCUSDT-PERP.BINANCE,SELL,MARKET,GTC,0.048,0.048,0.000,FILLED,1616371260000000000,1616371320000000000
O-20210329-000000-001-140724074716208-10,BTCUSDT-PERP.BINANCE,BUY,MARKET,GTC,0.048,0.048,0.000,FILLED,1616976000000000000,1616976060000000000
O-20210329-000100-001-140724074716208-11,BTCUSDT-PERP.BINANCE,BUY,MARKET,GTC,0.055,0.055,0.000,FILLED,1616976060000000000,1616976120000000000
O-20210405-000000-001-140724074716208-12,BTCUSDT-PERP.BINANCE,BUY,MARKET,GTC,0.007,0.007,0.000,FILLED,1617580800000000000,1617580860000000000
O-20210412-000000-001-140724074716208-13,BTCUSDT-PERP.BINANCE,BUY,MARKET,GTC,0.005,0.005,0.000,FILLED,1618185600000000000,1618185660000000000
O-20210419-000000-001-140724074716208-14,BTCUSDT-PERP.BINANCE,SELL,MARKET,GTC,0.067,0.067,0.000,FILLED,1618790400000000000,1618790460000000000
O-20210419-000100-001-140724074716208-15,BTCUSDT-PERP.BINANCE,SELL,MARKET,GTC,0.065,0.065,0.000,FILLED,1618790460000000000,1618790520000000000
O-20210426-000000-001-140724074716208-16,BTCUSDT-PERP.BINANCE,SELL,MARKET,GTC,0.023,0.023,0.000,FILLED,1619395200000000000,1619395260000000000
O-20210503-000000-001-140724074716208-17,BTCUSDT-PERP.BINANCE,BUY,MARKET,GTC,0.032,0.032,0.000,FILLED,1620000000000000000,1620000060000000000
O-20210510-000000-001-140724074716208-18,BTCUSDT-PERP.BINANCE,BUY,MARKET,GTC,0.008,0.008,0.000,FILLED,1620604800000000000,1620604860000000000
O-20210517-000000-001-140724074716208-19,BTCUSDT-PERP.BINANCE,SELL,MARKET,GTC,0.008,0.008,0.000,FILLED,1621209600000000000,1621209660000000000
O-20210524-000000-001-140724074716208-20,BTCUSDT-PERP.BINANCE,SELL,MARKET,GTC,0.004,0.004,0.000,FILLED,1621814400000000000,1621814460000000000
O-20210531-000000-001-140724074716208-21,BTCUSDT-PERP.BINANCE,BUY,MARKET,GTC,0.003,0.003,0.000,FILLED,1622419200000000000,1622419260000000000
O-20210614-000000-001-140724074716208-22,BTCUSDT-PERP.BINANCE,BUY,MARKET,GTC,0.008,0.008,0.000,FILLED,1623628800000000000,1623628860000000000
O-20210621-000000-001-140724074716208-23,BTCUSDT-PERP.BINANCE,BUY,MARKET,GTC,0.049,0.049,0.000,FILLED,1624233600000000000,1624233660000000000
O-20210621-000100-001-140724074716208-24,BTCUSDT-PERP.BINANCE,BUY,MARKET,GTC,0.070,0.070,0.000,FILLED,1624233660000000000,1624233720000000000
O-20210628-000000-001-140724074716208-25,BTCUSDT-PERP.BINANCE,SELL,MARKET,GTC,0.070,0.070,0.000,FILLED,1624838400000000000,1624838460000000000
O-20210628-000100-001-140724074716208-26,BTCUSDT-PERP.BINANCE,SELL,MARKET,GTC,0.067,0.067,0.000,FILLED,1624838460000000000,1624838520000000000
O-20210712-000000-001-140724074716208-27,BTCUSDT-PERP.BINANCE,SELL,MARKET,GTC,0.019,0.019,0.000,FILLED,1626048000000000000,1626048060000000000
O-20210719-000000-001-140724074716208-28,BTCUSDT-PERP.BINANCE,SELL,MARKET,GTC,0.014,0.014,0.000,FILLED,1626652800000000000,1626652860000000000
O-20210726-000000-001-140724074716208-29,BTCUSDT-PERP.BINANCE,BUY,MARKET,GTC,0.100,0.100,0.000,FILLED,1627257600000000000,1627257660000000000
O-20210726-000100-001-140724074716208-30,BTCUSDT-PERP.BINANCE,BUY,MARKET,GTC,0.118,0.118,0.000,FILLED,1627257660000000000,1627257720000000000
