client_order_id,instrument_id,side,order_type,time_in_force,quantity,filled_qty,leaves_qty,status,initialized_ns,terminal_ns
O-20210201-000000-001-140724494910560-1,BTCUSDT.BINANCE,BUY,MARKET,GTC,0.058407,0.058407,0.000000,FILLED,1612137600000000000,1612137660000000000
O-20210208-000000-001-140724494910560-2,BTCUSDT.BINANCE,SELL,MARKET,GTC,0.003520,0.003520,0.000000,FILLED,1612742400000000000,1612742460000000000
O-20210215-000000-001-140724494910560-3,BTCUSDT.BINANCE,SELL,MARKET,GTC,0.012482,0.012482,0.000000,FILLED,1613347200000000000,1613347260000000000
O-20210222-000000-001-140724494910560-4,BTCUSDT.BINANCE,BUY,MARKET,GTC,0.000790,0.000790,0.000000,FILLED,1613952000000000000,1613952060000000000
O-20210301-000000-001-140724494910560-5,BTCUSDT.BINANCE,BUY,MARKET,GTC,0.005166,0.005166,0.000000,FILLED,1614556800000000000,1614556860000000000
O-20210308-000000-001-140724494910560-6,BTCUSDT.BINANCE,SELL,MARKET,GTC,0.006087,0.006087,0.000000,FILLED,1615161600000000000,1615161660000000000
O-20210315-000000-001-140724494910560-7,BTCUSDT.BINANCE,BUY,MARKET,GTC,0.004076,0.004076,0.000000,FILLED,1615766400000000000,1615766460000000000
O-20210322-000000-001-140724494910560-8,BTCUSDT.BINANCE,SELL,MARKET,GTC,0.046350,0.046350,0.000000,FILLED,1616371200000000000,1616371260000000000
O-20210329-000000-001-140724494910560-9,BTCUSDT.BINANCE,BUY,MARKET,GTC,0.056309,0.056309,0.000000,FILLED,1616976000000000000,1616976060000000000
O-20210405-000000-001-140724494910560-10,BTCUSDT.BINANCE,BUY,MARKET,GTC,0.007398,0.007398,0.000000,FILLED,1617580800000000000,1617580860000000000
O-20210412-000000-001-140724494910560-11,BTCUSDT.BINANCE,BUY,MARKET,GTC,0.005838,0.005838,0.000000,FILLED,1618185600000000000,1618185660000000000
O-20210419-000000-001-140724494910560-12,BTCUSDT.BINANCE,SELL,MARKET,GTC,0.069545,0.069545,0.000000,FILLED,1618790400000000000,1618790460000000000
O-20210621-000000-001-140724494910560-13,BTCUSDT.BINANCE,BUY,MARKET,GTC,0.067091,0.067091,0.000000,FILLED,1624233600000000000,1624233660000000000
O-20210628-000000-001-140724494910560-14,BTCUSDT.BINANCE,SELL,MARKET,GTC,0.067091,0.067091,0.000000,FILLED,1624838400000000000,1624838460000000000
O-20210726-000000-001-140724494910560-15,BTCUSDT.BINANCE,BUY,MARKET,GTC,0.114134,0.114134,0.000000,FILLED,1627257600000000000,1627257660000000000
